pid	trait.myos	fdr.myos	trait.other	fdr.other	pairwise_fdr
10:113721259	JDM (M)	0.850076175329973	HypoThy	0.679373530427093	0.951930453391182
10:113721259	JDM (M)	0.850076175329973	PR	0.951073432766385	0.992664741912361
10:113721259	JDM (M)	0.850076175329973	BioMedRhe	0.406020917949418	0.910948384244985
10:113721259	IIM (M)	0.731271004873894	ITP	0.908394788601424	0.975383023592546
10:113721259	IIM (M)	0.731271004873894	IgG+ NMO	0.85187	0.96019317395197
10:113721259	IIM (M)	0.731271004873894	PBC	0.965647653338418	0.990768528401409
10:113721259	IIM (M)	0.731271004873894	JIA	0.965497440425301	0.990728161836213
10:113721259	IIM (M)	0.731271004873894	CR(E)ST	0.972552258277322	0.992623995948384
10:113721259	IIM (M)	0.731271004873894	MG	0.752658255775498	0.933532101621811
10:113721259	IIM (M)	0.731271004873894	Felty	0.86998636312145	0.965061566008937
10:113721259	IIM (M)	0.731271004873894	SjS	0.202102879657466	0.785581908636338
10:113721259	IIM (M)	0.731271004873894	SSc	0.99085991902834	0.997543795225115
10:113721259	IIM (M)	0.731271004873894	GPA	0.97916886800107	0.994402070830588
10:113721259	IIM (M)	0.731271004873894	MPO+ AAV	0.688884919400219	0.916394357021843
10:113721259	IIM (M)	0.731271004873894	PR3+ AAV	0.785425237154505	0.942337539601108
10:113721259	IIM (M)	0.731271004873894	HyperThy	0.711172826750229	0.922383763967476
10:113721259	IIM (M)	0.731271004873894	HypoThy	0.679373530427093	0.913838371020842
10:113721259	IIM (M)	0.731271004873894	PR	0.951073432766385	0.986852012752341
10:113721259	IIM (M)	0.731271004873894	BioMedRhe	0.406020917949418	0.840380598154621
10:113721259	PM (M)	0.984832304575562	ITP	0.908394788601424	0.998610560054215
10:113721259	PM (M)	0.984832304575562	IgG+ NMO	0.85187	0.997753209276778
10:113721259	PM (M)	0.984832304575562	PBC	0.965647653338418	0.999478954068722
10:113721259	PM (M)	0.984832304575562	JIA	0.965497440425301	0.999476675685007
10:113721259	PM (M)	0.984832304575562	CR(E)ST	0.972552258277322	0.999583681013462
10:113721259	PM (M)	0.984832304575562	MG	0.752658255775498	0.996248395757853
10:113721259	PM (M)	0.984832304575562	Felty	0.86998636312145	0.998027992754803
10:113721259	PM (M)	0.984832304575562	SjS	0.202102879657466	0.987897739498608
10:113721259	PM (M)	0.984832304575562	SSc	0.99085991902834	0.999861366035667
10:113721259	PM (M)	0.984832304575562	GPA	0.97916886800107	0.999684039734494
10:113721259	PM (M)	0.984832304575562	MPO+ AAV	0.688884919400219	0.995281101215513
10:113721259	PM (M)	0.984832304575562	PR3+ AAV	0.785425237154505	0.996745395351389
10:113721259	PM (M)	0.984832304575562	HyperThy	0.711172826750229	0.995619157405846
10:113721259	PM (M)	0.984832304575562	HypoThy	0.679373530427093	0.995136835364505
10:113721259	PM (M)	0.984832304575562	PR	0.951073432766385	0.999257896730037
10:113721259	PM (M)	0.984832304575562	BioMedRhe	0.406020917949418	0.99099070619497
10:30513870	DM (M)	0.922238974336316	ITP	0.908394788601424	0.992876684805508
10:30513870	DM (M)	0.922238974336316	IgG+ NMO	0.824644067796608	0.986364142855653
10:30513870	DM (M)	0.922238974336316	PBC	0.303870040525983	0.945868220356081
10:30513870	DM (M)	0.922238974336316	JIA	0.140120308258161	0.933134873222782
10:30513870	DM (M)	0.922238974336316	CR(E)ST	0.972552258277322	0.997865635451493
10:30513870	DM (M)	0.922238974336316	MG	0.752658255775498	0.980766452279658
10:30513870	DM (M)	0.922238974336316	Felty	0.95659561153341	0.996624830234533
10:30513870	DM (M)	0.922238974336316	SjS	0.580219131209648	0.96735740908887
10:30513870	DM (M)	0.922238974336316	SSc	0.599218791946309	0.968834842195015
10:30513870	DM (M)	0.922238974336316	GPA	0.860343342651071	0.989140155083786
10:30513870	DM (M)	0.922238974336316	MPO+ AAV	0.343992090394762	0.948988152105607
10:30513870	DM (M)	0.922238974336316	PR3+ AAV	0.582772933571774	0.967555995379891
10:30513870	DM (M)	0.922238974336316	HyperThy	0.797557150148232	0.984257836357247
10:30513870	DM (M)	0.922238974336316	HypoThy	0.594094790166028	0.968436394561077
10:30513870	DM (M)	0.922238974336316	PR	0.708778343286068	0.977354305278447
10:30513870	DM (M)	0.922238974336316	BioMedRhe	0.522516213437635	0.962870371019131
10:30513870	DM (R)	0.890105914621288	ITP	0.908394788601424	0.98993312907743
10:30513870	DM (R)	0.890105914621288	IgG+ NMO	0.824644067796608	0.980729420214777
10:30513870	DM (R)	0.890105914621288	PBC	0.303870040525983	0.923499434798883
10:30513870	DM (R)	0.890105914621288	JIA	0.140120308258161	0.905504307740302
10:30513870	DM (R)	0.890105914621288	CR(E)ST	0.972552258277322	0.996983655527675
10:30513870	DM (R)	0.890105914621288	MG	0.752658255775498	0.972818605242473
10:30513870	DM (R)	0.890105914621288	Felty	0.95659561153341	0.995230114428042
10:30513870	DM (R)	0.890105914621288	SjS	0.580219131209648	0.953868565364803
10:30513870	DM (R)	0.890105914621288	SSc	0.599218791946309	0.955956515703965
10:30513870	DM (R)	0.890105914621288	GPA	0.860343342651071	0.984652559373591
10:30513870	DM (R)	0.890105914621288	MPO+ AAV	0.343992090394762	0.927908610772732
10:30513870	DM (R)	0.890105914621288	PR3+ AAV	0.582772933571774	0.954149213139627
10:30513870	DM (R)	0.890105914621288	HyperThy	0.797557150148232	0.97775272817408
10:30513870	DM (R)	0.890105914621288	HypoThy	0.594094790166028	0.955393418214842
10:30513870	DM (R)	0.890105914621288	PR	0.708778343286068	0.967996462392949
10:30513870	DM (R)	0.890105914621288	BioMedRhe	0.522516213437635	0.947527355992565
10:30513870	JDM (M)	0.893648729177305	ITP	0.908394788601424	0.99025766935378
10:30513870	JDM (M)	0.893648729177305	IgG+ NMO	0.824644067796608	0.981350673763871
10:30513870	JDM (M)	0.893648729177305	PBC	0.303870040525983	0.925965694152187
10:30513870	JDM (M)	0.893648729177305	JIA	0.140120308258161	0.908550702028628
10:30513870	JDM (M)	0.893648729177305	CR(E)ST	0.972552258277322	0.99708089778658
10:30513870	JDM (M)	0.893648729177305	MG	0.752658255775498	0.973694891174222
10:30513870	JDM (M)	0.893648729177305	Felty	0.95659561153341	0.995383888127296
10:30513870	JDM (M)	0.893648729177305	SjS	0.580219131209648	0.955355771137091
10:30513870	JDM (M)	0.893648729177305	SSc	0.599218791946309	0.957376409201635
10:30513870	JDM (M)	0.893648729177305	GPA	0.860343342651071	0.985147337012092
10:30513870	JDM (M)	0.893648729177305	MPO+ AAV	0.343992090394762	0.930232725143743
10:30513870	JDM (M)	0.893648729177305	PR3+ AAV	0.582772933571774	0.955627371263733
10:30513870	JDM (M)	0.893648729177305	HyperThy	0.797557150148232	0.978469945649296
10:30513870	JDM (M)	0.893648729177305	HypoThy	0.594094790166028	0.956831465100605
10:30513870	JDM (M)	0.893648729177305	PR	0.708778343286068	0.969028206717383
10:30513870	JDM (M)	0.893648729177305	BioMedRhe	0.522516213437635	0.94921899250186
10:30513870	JDM (R)	0.937912716883687	ITP	0.908394788601424	0.994312481304967
10:30513870	JDM (R)	0.937912716883687	IgG+ NMO	0.824644067796608	0.989112626591163
10:30513870	JDM (R)	0.937912716883687	PBC	0.303870040525983	0.956779182120389
10:30513870	JDM (R)	0.937912716883687	JIA	0.140120308258161	0.946612406132856
10:30513870	JDM (R)	0.937912716883687	CR(E)ST	0.972552258277322	0.998295844288761
10:30513870	JDM (R)	0.937912716883687	MG	0.752658255775498	0.984643223099851
10:30513870	JDM (R)	0.937912716883687	Felty	0.95659561153341	0.997305139444784
10:30513870	JDM (R)	0.937912716883687	SjS	0.580219131209648	0.973936946352602
10:30513870	JDM (R)	0.937912716883687	SSc	0.599218791946309	0.975116583667872
10:30513870	JDM (R)	0.937912716883687	GPA	0.860343342651071	0.991329097576099
10:30513870	JDM (R)	0.937912716883687	MPO+ AAV	0.343992090394762	0.959270251189799
10:30513870	JDM (R)	0.937912716883687	PR3+ AAV	0.582772933571774	0.974095505002882
10:30513870	JDM (R)	0.937912716883687	HyperThy	0.797557150148232	0.98743087346638
10:30513870	JDM (R)	0.937912716883687	HypoThy	0.594094790166028	0.974798448318652
10:30513870	JDM (R)	0.937912716883687	PR	0.708778343286068	0.98191883855
10:30513870	JDM (R)	0.937912716883687	BioMedRhe	0.522516213437635	0.970354328960253
10:30513870	Anti-Jo1+ (R)	0.998497834078849	ITP	0.908394788601424	0.999862393773237
10:30513870	Anti-Jo1+ (R)	0.998497834078849	IgG+ NMO	0.824644067796608	0.999736586294572
10:30513870	Anti-Jo1+ (R)	0.998497834078849	PBC	0.303870040525983	0.998954297298186
10:30513870	Anti-Jo1+ (R)	0.998497834078849	JIA	0.140120308258161	0.998708318030776
10:30513870	Anti-Jo1+ (R)	0.998497834078849	CR(E)ST	0.972552258277322	0.999958768937772
10:30513870	Anti-Jo1+ (R)	0.998497834078849	MG	0.752658255775498	0.999628451660948
10:30513870	Anti-Jo1+ (R)	0.998497834078849	Felty	0.95659561153341	0.999934799406817
10:30513870	Anti-Jo1+ (R)	0.998497834078849	SjS	0.580219131209648	0.999369419484552
10:30513870	Anti-Jo1+ (R)	0.998497834078849	SSc	0.599218791946309	0.999397960127424
10:30513870	Anti-Jo1+ (R)	0.998497834078849	GPA	0.860343342651071	0.999790212528669
10:30513870	Anti-Jo1+ (R)	0.998497834078849	MPO+ AAV	0.343992090394762	0.999014567274186
10:30513870	Anti-Jo1+ (R)	0.998497834078849	PR3+ AAV	0.582772933571774	0.99937325571943
10:30513870	Anti-Jo1+ (R)	0.998497834078849	HyperThy	0.797557150148232	0.999695897249972
10:30513870	Anti-Jo1+ (R)	0.998497834078849	HypoThy	0.594094790166028	0.99939026302657
10:30513870	Anti-Jo1+ (R)	0.998497834078849	PR	0.708778343286068	0.999562536751783
10:30513870	Anti-Jo1+ (R)	0.998497834078849	BioMedRhe	0.522516213437635	0.999282740127924
10:30513870	IIM (M)	0.678218737719148	ITP	0.908394788601424	0.970523159444662
10:30513870	IIM (M)	0.678218737719148	IgG+ NMO	0.824644067796608	0.943573746787157
10:30513870	IIM (M)	0.678218737719148	PBC	0.303870040525983	0.775998422928932
10:30513870	IIM (M)	0.678218737719148	JIA	0.140120308258161	0.723306827381641
10:30513870	IIM (M)	0.678218737719148	CR(E)ST	0.972552258277322	0.991167831021718
10:30513870	IIM (M)	0.678218737719148	MG	0.752658255775498	0.920410061328692
10:30513870	IIM (M)	0.678218737719148	Felty	0.95659561153341	0.986033281090692
10:30513870	IIM (M)	0.678218737719148	SjS	0.580219131209648	0.864922382159288
10:30513870	IIM (M)	0.678218737719148	SSc	0.599218791946309	0.871036116974039
10:30513870	IIM (M)	0.678218737719148	GPA	0.860343342651071	0.955061104512337
10:30513870	IIM (M)	0.678218737719148	MPO+ AAV	0.343992090394762	0.788908946781003
10:30513870	IIM (M)	0.678218737719148	PR3+ AAV	0.582772933571774	0.865744147906989
10:30513870	IIM (M)	0.678218737719148	HyperThy	0.797557150148232	0.934857684234965
10:30513870	IIM (M)	0.678218737719148	HypoThy	0.594094790166028	0.86938730921325
10:30513870	IIM (M)	0.678218737719148	PR	0.708778343286068	0.90629032769907
10:30513870	IIM (M)	0.678218737719148	BioMedRhe	0.522516213437635	0.846354664441321
10:30513870	IIM (R)	0.346540051117286	ITP	0.908394788601424	0.940139663242096
10:30513870	IIM (R)	0.346540051117286	IgG+ NMO	0.824644067796608	0.885411921506091
10:30513870	IIM (R)	0.346540051117286	PBC	0.303870040525983	0.545106952266382
10:30513870	IIM (R)	0.346540051117286	JIA	0.140120308258161	0.438103060589094
10:30513870	IIM (R)	0.346540051117286	CR(E)ST	0.972552258277322	0.982064000096953
10:30513870	IIM (R)	0.346540051117286	MG	0.752658255775498	0.838372076462495
10:30513870	IIM (R)	0.346540051117286	Felty	0.95659561153341	0.971636970531336
10:30513870	IIM (R)	0.346540051117286	SjS	0.580219131209648	0.725690014938316
10:30513870	IIM (R)	0.346540051117286	SSc	0.599218791946309	0.738105532272083
10:30513870	IIM (R)	0.346540051117286	GPA	0.860343342651071	0.908739967827638
10:30513870	IIM (R)	0.346540051117286	MPO+ AAV	0.343992090394762	0.571325104922705
10:30513870	IIM (R)	0.346540051117286	PR3+ AAV	0.582772933571774	0.727358822499327
10:30513870	IIM (R)	0.346540051117286	HyperThy	0.797557150148232	0.867711705684193
10:30513870	IIM (R)	0.346540051117286	HypoThy	0.594094790166028	0.734757202330665
10:30513870	IIM (R)	0.346540051117286	PR	0.708778343286068	0.809698311090174
10:30513870	IIM (R)	0.346540051117286	BioMedRhe	0.522516213437635	0.687983469240632
10:30513870	PM (M)	0.627235037866587	ITP	0.908394788601424	0.965852786841787
10:30513870	PM (M)	0.627235037866587	IgG+ NMO	0.824644067796608	0.934633452572333
10:30513870	PM (M)	0.627235037866587	PBC	0.303870040525983	0.740507142016734
10:30513870	PM (M)	0.627235037866587	JIA	0.140120308258161	0.679466979268563
10:30513870	PM (M)	0.627235037866587	CR(E)ST	0.972552258277322	0.989768443596098
10:30513870	PM (M)	0.627235037866587	MG	0.752658255775498	0.907799664080141
10:30513870	PM (M)	0.627235037866587	Felty	0.95659561153341	0.983820364776827
10:30513870	PM (M)	0.627235037866587	SjS	0.580219131209648	0.843520400341033
10:30513870	PM (M)	0.627235037866587	SSc	0.599218791946309	0.850602808156083
10:30513870	PM (M)	0.627235037866587	GPA	0.860343342651071	0.947940891411648
10:30513870	PM (M)	0.627235037866587	MPO+ AAV	0.343992090394762	0.755463236416784
10:30513870	PM (M)	0.627235037866587	PR3+ AAV	0.582772933571774	0.844472368381847
10:30513870	PM (M)	0.627235037866587	HyperThy	0.797557150148232	0.924536398740825
10:30513870	PM (M)	0.627235037866587	HypoThy	0.594094790166028	0.848692759826485
10:30513870	PM (M)	0.627235037866587	PR	0.708778343286068	0.891442770162601
10:30513870	PM (M)	0.627235037866587	BioMedRhe	0.522516213437635	0.822010774382761
10:30513870	PM (R)	0.828378204311597	ITP	0.908394788601424	0.984278549125361
10:30513870	PM (R)	0.828378204311597	IgG+ NMO	0.824644067796608	0.96990510003064
10:30513870	PM (R)	0.828378204311597	PBC	0.303870040525983	0.880528926322574
10:30513870	PM (R)	0.828378204311597	JIA	0.140120308258161	0.852425903227275
10:30513870	PM (R)	0.828378204311597	CR(E)ST	0.972552258277322	0.995289369277963
10:30513870	PM (R)	0.828378204311597	MG	0.752658255775498	0.957550765707489
10:30513870	PM (R)	0.828378204311597	Felty	0.95659561153341	0.992550860910607
10:30513870	PM (R)	0.828378204311597	SjS	0.580219131209648	0.927956453502562
10:30513870	PM (R)	0.828378204311597	SSc	0.599218791946309	0.931217209395658
10:30513870	PM (R)	0.828378204311597	GPA	0.860343342651071	0.976031873685937
10:30513870	PM (R)	0.828378204311597	MPO+ AAV	0.343992090394762	0.887414744567754
10:30513870	PM (R)	0.828378204311597	PR3+ AAV	0.582772933571774	0.928394741649783
10:30513870	PM (R)	0.828378204311597	HyperThy	0.797557150148232	0.965256394584162
10:30513870	PM (R)	0.828378204311597	HypoThy	0.594094790166028	0.930337819009016
10:30513870	PM (R)	0.828378204311597	PR	0.708778343286068	0.950020016331403
10:30513870	PM (R)	0.828378204311597	BioMedRhe	0.522516213437635	0.918053375138069
10:33137219	DM (M)	0.922238974336316	ITP	0.978932223518496	0.998361748092345
10:33137219	DM (M)	0.922238974336316	IgG+ NMO	0.990065217391304	0.999227461114602
10:33137219	DM (M)	0.922238974336316	PBC	0.70986330195077	0.977438672777017
10:33137219	DM (M)	0.922238974336316	JIA	0.471386094143713	0.958894440500529
10:33137219	DM (M)	0.922238974336316	CR(E)ST	0.972552258277322	0.997865635451493
10:33137219	DM (M)	0.922238974336316	MG	0.84067199752496	0.987610491110595
10:33137219	DM (M)	0.922238974336316	Felty	0.950490036775993	0.99615005447913
10:33137219	DM (M)	0.922238974336316	SjS	0.0425498457684988	0.925547693985106
10:33137219	DM (M)	0.922238974336316	SSc	0.925774137931034	0.994228120834746
10:33137219	DM (M)	0.922238974336316	GPA	0.984938282242444	0.998828785378915
10:33137219	DM (M)	0.922238974336316	MPO+ AAV	0.824976000965616	0.986389954319327
10:33137219	DM (M)	0.922238974336316	PR3+ AAV	0.187130051883872	0.936790399103304
10:33137219	DM (M)	0.922238974336316	HyperThy	0.143729561921449	0.93341553248952
10:33137219	DM (M)	0.922238974336316	HypoThy	0.848548257836733	0.988222957190833
10:33137219	DM (M)	0.922238974336316	PR	0.960612801550096	0.996937211050516
10:33137219	DM (M)	0.922238974336316	BioMedRhe	0.978889598312399	0.9983584335126
10:33137219	DM (R)	0.909015777332508	ITP	0.978932223518496	0.998083164733498
10:33137219	DM (R)	0.909015777332508	IgG+ NMO	0.990065217391304	0.999096091526977
10:33137219	DM (R)	0.909015777332508	PBC	0.70986330195077	0.973602138060678
10:33137219	DM (R)	0.909015777332508	JIA	0.471386094143713	0.951904474684439
10:33137219	DM (R)	0.909015777332508	CR(E)ST	0.972552258277322	0.997502688555384
10:33137219	DM (R)	0.909015777332508	MG	0.84067199752496	0.985503665545644
10:33137219	DM (R)	0.909015777332508	Felty	0.950490036775993	0.995495374481768
10:33137219	DM (R)	0.909015777332508	SjS	0.0425498457684988	0.912887141974377
10:33137219	DM (R)	0.909015777332508	SSc	0.925774137931034	0.993246617637831
10:33137219	DM (R)	0.909015777332508	GPA	0.984938282242444	0.998629621317792
10:33137219	DM (R)	0.909015777332508	MPO+ AAV	0.824976000965616	0.984075577499701
10:33137219	DM (R)	0.909015777332508	PR3+ AAV	0.187130051883872	0.926041659640889
10:33137219	DM (R)	0.909015777332508	HyperThy	0.143729561921449	0.92209289979827
10:33137219	DM (R)	0.909015777332508	HypoThy	0.848548257836733	0.986220280967638
10:33137219	DM (R)	0.909015777332508	PR	0.960612801550096	0.996416386365985
10:33137219	DM (R)	0.909015777332508	BioMedRhe	0.978889598312399	0.998079286512255
10:33137219	JDM (M)	0.991546839861743	ITP	0.978932223518496	0.999821910711645
10:33137219	JDM (M)	0.991546839861743	IgG+ NMO	0.990065217391304	0.99991601969167
10:33137219	JDM (M)	0.991546839861743	PBC	0.70986330195077	0.997547428029405
10:33137219	JDM (M)	0.991546839861743	JIA	0.471386094143713	0.995531542002487
10:33137219	JDM (M)	0.991546839861743	CR(E)ST	0.972552258277322	0.999767979843785
10:33137219	JDM (M)	0.991546839861743	MG	0.84067199752496	0.99865317488057
10:33137219	JDM (M)	0.991546839861743	Felty	0.950490036775993	0.999581484352428
10:33137219	JDM (M)	0.991546839861743	SjS	0.0425498457684988	0.991906520521882
10:33137219	JDM (M)	0.991546839861743	SSc	0.925774137931034	0.999372556901531
10:33137219	JDM (M)	0.991546839861743	GPA	0.984938282242444	0.999872680887838
10:33137219	JDM (M)	0.991546839861743	MPO+ AAV	0.824976000965616	0.998520494108124
10:33137219	JDM (M)	0.991546839861743	PR3+ AAV	0.187130051883872	0.993128680156998
10:33137219	JDM (M)	0.991546839861743	HyperThy	0.143729561921449	0.992761808865267
10:33137219	JDM (M)	0.991546839861743	HypoThy	0.848548257836733	0.998719754170276
10:33137219	JDM (M)	0.991546839861743	PR	0.960612801550096	0.999667053704106
10:33137219	JDM (M)	0.991546839861743	BioMedRhe	0.978889598312399	0.999821550393952
10:33137219	JDM (R)	0.937912716883687	ITP	0.978932223518496	0.998691958996962
10:33137219	JDM (R)	0.937912716883687	IgG+ NMO	0.990065217391304	0.999383176339475
10:33137219	JDM (R)	0.937912716883687	PBC	0.70986330195077	0.981986200685785
10:33137219	JDM (R)	0.937912716883687	JIA	0.471386094143713	0.96717979876788
10:33137219	JDM (R)	0.937912716883687	CR(E)ST	0.972552258277322	0.998295844288761
10:33137219	JDM (R)	0.937912716883687	MG	0.84067199752496	0.990107757201976
10:33137219	JDM (R)	0.937912716883687	Felty	0.950490036775993	0.996926060896233
10:33137219	JDM (R)	0.937912716883687	SjS	0.0425498457684988	0.940554521204471
10:33137219	JDM (R)	0.937912716883687	SSc	0.925774137931034	0.995391517887172
10:33137219	JDM (R)	0.937912716883687	GPA	0.984938282242444	0.999064858865369
10:33137219	JDM (R)	0.937912716883687	MPO+ AAV	0.824976000965616	0.989133235419803
10:33137219	JDM (R)	0.937912716883687	PR3+ AAV	0.187130051883872	0.949531113394571
10:33137219	JDM (R)	0.937912716883687	HyperThy	0.143729561921449	0.946836494886887
10:33137219	JDM (R)	0.937912716883687	HypoThy	0.848548257836733	0.99059677280585
10:33137219	JDM (R)	0.937912716883687	PR	0.960612801550096	0.997554555858682
10:33137219	JDM (R)	0.937912716883687	BioMedRhe	0.978889598312399	0.998689312513723
10:33137219	Anti-Jo1+ (R)	0.920303574618366	ITP	0.978932223518496	0.998320973523685
10:33137219	Anti-Jo1+ (R)	0.920303574618366	IgG+ NMO	0.990065217391304	0.999208233339143
10:33137219	Anti-Jo1+ (R)	0.920303574618366	PBC	0.70986330195077	0.976877142293446
10:33137219	Anti-Jo1+ (R)	0.920303574618366	JIA	0.471386094143713	0.95787136129623
10:33137219	Anti-Jo1+ (R)	0.920303574618366	CR(E)ST	0.972552258277322	0.997812513099904
10:33137219	Anti-Jo1+ (R)	0.920303574618366	MG	0.84067199752496	0.987302127739543
10:33137219	Anti-Jo1+ (R)	0.920303574618366	Felty	0.950490036775993	0.99605423291027
10:33137219	Anti-Jo1+ (R)	0.920303574618366	SjS	0.0425498457684988	0.923694645226655
10:33137219	Anti-Jo1+ (R)	0.920303574618366	SSc	0.925774137931034	0.994084464122233
10:33137219	Anti-Jo1+ (R)	0.920303574618366	GPA	0.984938282242444	0.998799634934616
10:33137219	Anti-Jo1+ (R)	0.920303574618366	MPO+ AAV	0.824976000965616	0.986051212920961
10:33137219	Anti-Jo1+ (R)	0.920303574618366	PR3+ AAV	0.187130051883872	0.93521717083499
10:33137219	Anti-Jo1+ (R)	0.920303574618366	HyperThy	0.143729561921449	0.931758306925174
10:33137219	Anti-Jo1+ (R)	0.920303574618366	HypoThy	0.848548257836733	0.987929837531767
10:33137219	Anti-Jo1+ (R)	0.920303574618366	PR	0.960612801550096	0.996860981077745
10:33137219	Anti-Jo1+ (R)	0.920303574618366	BioMedRhe	0.978889598312399	0.998317576447128
10:33137219	IIM (M)	0.892255871593951	ITP	0.978932223518496	0.997730070785547
10:33137219	IIM (M)	0.892255871593951	IgG+ NMO	0.990065217391304	0.998929585506922
10:33137219	IIM (M)	0.892255871593951	PBC	0.70986330195077	0.968739474350077
10:33137219	IIM (M)	0.892255871593951	JIA	0.471386094143713	0.943044955450197
10:33137219	IIM (M)	0.892255871593951	CR(E)ST	0.972552258277322	0.997042666991376
10:33137219	IIM (M)	0.892255871593951	MG	0.84067199752496	0.98283334324265
10:33137219	IIM (M)	0.892255871593951	Felty	0.950490036775993	0.994665592165014
10:33137219	IIM (M)	0.892255871593951	SjS	0.0425498457684988	0.89684036764009
10:33137219	IIM (M)	0.892255871593951	SSc	0.925774137931034	0.992002599186192
10:33137219	IIM (M)	0.892255871593951	GPA	0.984938282242444	0.998377188347914
10:33137219	IIM (M)	0.892255871593951	MPO+ AAV	0.824976000965616	0.981142191773899
10:33137219	IIM (M)	0.892255871593951	PR3+ AAV	0.187130051883872	0.912418035932758
10:33137219	IIM (M)	0.892255871593951	HyperThy	0.143729561921449	0.907741887969361
10:33137219	IIM (M)	0.892255871593951	HypoThy	0.848548257836733	0.983681964045041
10:33137219	IIM (M)	0.892255871593951	PR	0.960612801550096	0.995756260632659
10:33137219	IIM (M)	0.892255871593951	BioMedRhe	0.978889598312399	0.997725478169868
10:33137219	IIM (R)	0.464647248110153	ITP	0.978932223518496	0.988721307884427
10:33137219	IIM (R)	0.464647248110153	IgG+ NMO	0.990065217391304	0.994681386791007
10:33137219	IIM (R)	0.464647248110153	PBC	0.70986330195077	0.844674520275111
10:33137219	IIM (R)	0.464647248110153	JIA	0.471386094143713	0.717005090812596
10:33137219	IIM (R)	0.464647248110153	CR(E)ST	0.972552258277322	0.985305775935602
10:33137219	IIM (R)	0.464647248110153	MG	0.84067199752496	0.914703315421875
10:33137219	IIM (R)	0.464647248110153	Felty	0.950490036775993	0.973494704942063
10:33137219	IIM (R)	0.464647248110153	SjS	0.0425498457684988	0.487426425134808
10:33137219	IIM (R)	0.464647248110153	SSc	0.925774137931034	0.960262980479983
10:33137219	IIM (R)	0.464647248110153	GPA	0.984938282242444	0.991936667950304
10:33137219	IIM (R)	0.464647248110153	MPO+ AAV	0.824976000965616	0.906300420470177
10:33137219	IIM (R)	0.464647248110153	PR3+ AAV	0.187130051883872	0.564827836347474
10:33137219	IIM (R)	0.464647248110153	HyperThy	0.143729561921449	0.541593264612723
10:33137219	IIM (R)	0.464647248110153	HypoThy	0.848548257836733	0.918919893054384
10:33137219	IIM (R)	0.464647248110153	PR	0.960612801550096	0.978913954920612
10:33137219	IIM (R)	0.464647248110153	BioMedRhe	0.978889598312399	0.988698488363043
10:33137219	PM (M)	0.984832304575562	ITP	0.978932223518496	0.999680450383058
10:33137219	PM (M)	0.984832304575562	IgG+ NMO	0.990065217391304	0.999849312243283
10:33137219	PM (M)	0.984832304575562	PBC	0.70986330195077	0.995599294932537
10:33137219	PM (M)	0.984832304575562	JIA	0.471386094143713	0.991982145278849
10:33137219	PM (M)	0.984832304575562	CR(E)ST	0.972552258277322	0.999583681013462
